0:0, 0:0, 6
0:0, 1:1, 1

B0:1 S0:1 V3
B0:1 S1:0 V9
B0:1 S2:0 V2
B0:1 S2:1 V6

B0:2 S0:1 V4
B0:2 S0:2 V8
B0:2 S2:0 V9
B0:2 S2:2 V5

B1:0 S0:0 V1
B1:0 S0:1 V8
B1:0 S0:2 V6
B1:0 S1:1 V2
B1:0 S2:0 V5
B1:0 S2:2 V9

B1:1 S0:0 V7
B1:1 S0:2 V4
B1:1 S1:0 V8
B1:1 S1:2 V5
B1:1 S2:0 V6
B1:1 S2:2 V3

B1:2 S0:0 V3
B1:2 S0:2 V9
B1:2 S2:0 V2
B1:2 S2:1 V8
B1:2 S2:2 V7

B2:0 S1:1 V3
B2:0 S1:2 V1
B2:0 S2:0 V9
B2:0 S2:2 V4

B2:1 S0:1 V8


B2:1 S2:0 V3

B2:2 S0:0 V4
B2:2 S1:1 V9
B2:2 S1:2 V2



1. LOOP THROUGH GAMEBOARD USING B INDEXES
2. LOOP THROUGH BLOCKS USING S INDEXES
3. ASSIGN CORRECTVALUE TO V NUMBER
